Country Name,Country Code,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Afghanistan,AFG,59.28699,61.72699,63.11699,64.45699,65.74699,66.98699,68.16699,69.26699,70.30699,71.12699,71.89699,72.71699,73.78699,74.97699,75.92699,77.25699,78.90699,81.17699,85.37699,92.13699,100.59699,112.82699,123.57699,133.58699,143.38699,153.81699,165.52699
Albania,ALB,172.50816,176.78816,179.29816,181.62816,183.54816,185.62816,187.64816,189.18816,190.93816,193.91816,196.93816,200.15816,203.90816,208.19816,212.35816,216.60816,220.49816,224.41816,228.78816,233.15816,237.74816,242.98816,247.89816,252.95816,258.66816,264.54816,270.56816
Algeria,DZA,1228.83,1307.81,1387.88,1470.02,1556.37,1651.59,1748.61,1835.88,1942.79,2034.76,2122.55,2206.7,2296.53,2388.03,2476.47,2583.66,2684.65,2793.97,2904.09,3025.39,3144.47,3265.56,3395.44,3529.8,3675.08,3829.39,3983.18
Andorra,AND,0.41,0.82,1.23,1.64,2.05,2.48,2.93,3.4,3.89,4.4,4.92,5.44,5.97,6.5,7.06,7.64,8.19,8.73,9.27,9.79,10.31,10.8,11.29,11.77,12.23,12.71,13.2
Angola,AGO,116.03485,121.12485,126.31485,132.08485,135.97485,146.94485,157.39485,164.77485,172.07485,181.22485,190.75485,200.47485,213.13485,222.19485,240.97485,260.11485,282.36485,307.49485,333.18485,360.95485,389.98485,420.30485,453.67485,486.26485,520.99485,555.96485,591.68485
Anguilla,AIA,0.05,0.1,0.15,0.22,0.29,0.36,0.43,0.5,0.58,0.66,0.75,0.85,0.95,1.05,1.17,1.3,1.44,1.59,1.74,1.89,2.04,2.18,2.32,2.46,2.6,2.75,2.9
Antigua and Barbuda,ATG,10.65138,10.92138,11.18138,11.45138,11.72138,11.99138,12.28138,12.59138,12.91138,13.24138,13.58138,13.93138,14.30138,14.70138,15.12138,15.55138,15.99138,16.46138,16.94138,17.45138,17.97138,18.48138,19.00138,19.52138,20.05138,20.60138,21.16138
Argentina,ARG,3673.08112,3790.08112,3911.33112,4029.16112,4151.47112,4279.33112,4414.22112,4552.11112,4691.81112,4838.67112,4980.69112,5114.30112,5238.91112,5373.86112,5531.32112,5693.30112,5868.59112,6043.62112,6232.57112,6412.38112,6600.15112,6791.63112,6983.83112,7173.53112,7377.39112,7585.40112,7794.30112
Armenia,ARM,155.19,161.49,167.31,169.86,172.56,175.97,178.53,181.76,185.12,188.13,191.59,195.13,198.17,201.6,205.24,209.59,213.97,219.03,224.58,228.94,233.15,238.06,243.75,249.24,254.77,260.37,266.12
Aruba,ABW,22.4,24.08,25.54,27.13,28.74,30.41,32.1,33.84,35.64,37.45,39.83,42.24,44.68,47.24,49.86,52.58,55.3,58.12,60.78,63.41,65.92,68.42,69.77,70.63,71.5,72.41,73.33
Australia,AUS,7543.75361,7823.56361,8108.40361,8397.63361,8691.56361,8996.82361,9309.00361,9629.56361,9963.99361,10307.84361,10657.82361,11015.28361,11377.25361,11746.03361,12128.05361,12513.86361,12905.22361,13304.52361,13709.41361,14118.16361,14524.97361,14929.24361,15336.38361,15734.67361,16128.24361,16530.40361,16928.39361
Austria,AUT,3448.42317,3514.32317,3574.75317,3635.54317,3696.73317,3760.94317,3828.61317,3896.06317,3963.11317,4028.81317,4095.16317,4165.62317,4237.82317,4315.68317,4393.84317,4473.21317,4549.89317,4623.92317,4697.73317,4765.38317,4837.93317,4908.22317,4975.94317,5043.90317,5108.10317,5174.82317,5242.59317
Azerbaijan,AZE,1497.88,1558.7,1614.89,1663.3,1705.24,1738.55,1769.78,1799.56,1831.21,1859.76,1889.24,1917.99,1947.58,1978.17,2010.23,2044.54,2083.68,2114.16,2149.63,2181.51,2212.16,2245.58,2281.11,2316.72,2354.18,2394.64,2434.85
Bahamas,BHS,107.87723,109.65723,111.44723,113.14723,114.83723,116.51723,118.18723,119.54723,121.22723,122.89723,124.56723,126.13723,127.71723,129.23723,130.95723,132.69723,134.35723,136.04723,137.53723,139.17723,140.82723,142.68723,144.65723,147.45723,149.86723,152.38723,154.93723
Bahrain,BHR,238.32672,250.19672,261.08672,275.71672,290.49672,305.30672,320.91672,338.22672,356.61672,374.61672,393.24672,407.16672,422.85672,439.31672,456.81672,476.00672,494.81672,521.63672,551.37672,579.56672,608.80672,637.43672,664.08672,695.37672,726.68672,760.80672,795.73672
Bangladesh,BGD,198.56,214.49,232.22,249.61,268.56,291.36,315.37,340.41,364.44,389.66,417.51,449.94,483.62,519.26,556.93,596.38,639.89,684.24,733.71,787.4,847.29,910.65,978.1,1047.75,1120.88,1200.45,1282.85
Barbados,BRB,18.42265,19.63265,20.61265,21.72265,22.47265,23.30265,24.15265,25.05265,26.19265,27.40265,28.59265,29.81265,31.04265,32.31265,33.60265,34.95265,36.32265,37.68265,39.30265,40.92265,42.40265,43.93265,45.40265,46.85265,48.12265,49.44265,50.78265
